PCA  1 | small        | architecture=(64,) | Accuracy=0.3097 | time= 3.2s
PCA  1 | medium       | architecture=(128,) | Accuracy=0.3121 | time= 2.2s
PCA  1 | wideShallow  | architecture=(256,) | Accuracy=0.3148 | time= 4.4s
PCA  1 | twoLayer     | architecture=(128, 64) | Accuracy=0.3117 | time= 8.7s
PCA  1 | mnistOptimal | architecture=(784,) | Accuracy=0.3163 | time= 31.7s
PCA  1 | deep         | architecture=(128, 64, 64, 64) | Accuracy=0.3114 | time= 13.9s
PCA  1 | deeper       | architecture=(64, 64, 64, 64, 64, 64, 64) | Accuracy=0.3091 | time= 13.1s
PCA  1 | twoLayerBottleNeck | architecture=(512, 256) | Accuracy=0.3141 | time= 34.7s
PCA  1 | threeLayerBottleNeck | architecture=(512, 256, 128) | Accuracy=0.3128 | time= 35.2s
PCA  1 | wideDeep     | architecture=(256, 128) | Accuracy=0.3110 | time= 10.0s
PCA  1 | shallowTaper | architecture=(512, 256, 128, 64) | Accuracy=0.3154 | time= 83.1s
PCA  1 | deepTaper    | architecture=(512, 256, 128, 64, 32, 16, 8, 4, 2) | Accuracy=0.2587 | time= 80.6s
PCA  1 | wikiWork     | architecture=(784, 800) | Accuracy=0.3175 | time= 191.8s
PCA 10 | small        | architecture=(64,) | Accuracy=0.9268 | time= 10.2s
PCA 10 | medium       | architecture=(128,) | Accuracy=0.9334 | time= 13.4s
PCA 10 | wideShallow  | architecture=(256,) | Accuracy=0.9387 | time= 25.0s
PCA 10 | twoLayer     | architecture=(128, 64) | Accuracy=0.9383 | time= 17.1s
PCA 10 | mnistOptimal | architecture=(784,) | Accuracy=0.9410 | time= 55.9s
PCA 10 | deep         | architecture=(128, 64, 64, 64) | Accuracy=0.9364 | time= 32.1s
PCA 10 | deeper       | architecture=(64, 64, 64, 64, 64, 64, 64) | Accuracy=0.9392 | time= 39.9s
PCA 10 | twoLayerBottleNeck | architecture=(512, 256) | Accuracy=0.9453 | time= 69.4s
PCA 10 | threeLayerBottleNeck | architecture=(512, 256, 128) | Accuracy=0.9418 | time= 116.9s
PCA 10 | wideDeep     | architecture=(256, 128) | Accuracy=0.9420 | time= 28.7s
PCA 10 | shallowTaper | architecture=(512, 256, 128, 64) | Accuracy=0.9407 | time= 86.5s
PCA 10 | deepTaper    | architecture=(512, 256, 128, 64, 32, 16, 8, 4, 2) | Accuracy=0.7466 | time= 127.1s
PCA 10 | wikiWork     | architecture=(784, 800) | Accuracy=0.9383 | time= 417.7s
PCA 20 | small        | architecture=(64,) | Accuracy=0.9701 | time= 13.3s
PCA 20 | medium       | architecture=(128,) | Accuracy=0.9708 | time= 6.9s
PCA 20 | wideShallow  | architecture=(256,) | Accuracy=0.9743 | time= 16.5s
PCA 20 | twoLayer     | architecture=(128, 64) | Accuracy=0.9741 | time= 19.1s
PCA 20 | mnistOptimal | architecture=(784,) | Accuracy=0.9760 | time= 58.3s
PCA 20 | deep         | architecture=(128, 64, 64, 64) | Accuracy=0.9744 | time= 21.5s
PCA 20 | deeper       | architecture=(64, 64, 64, 64, 64, 64, 64) | Accuracy=0.9686 | time= 51.5s
PCA 20 | twoLayerBottleNeck | architecture=(512, 256) | Accuracy=0.9778 | time= 73.5s
PCA 20 | threeLayerBottleNeck | architecture=(512, 256, 128) | Accuracy=0.9783 | time= 75.6s
PCA 20 | wideDeep     | architecture=(256, 128) | Accuracy=0.9788 | time= 25.4s
PCA 20 | shallowTaper | architecture=(512, 256, 128, 64) | Accuracy=0.9754 | time= 74.2s
PCA 20 | deepTaper    | architecture=(512, 256, 128, 64, 32, 16, 8, 4, 2) | Accuracy=0.9695 | time= 230.8s
PCA 20 | wikiWork     | architecture=(784, 800) | Accuracy=0.9800 | time= 275.2s
PCA 30 | small        | architecture=(64,) | Accuracy=0.9726 | time= 8.0s
PCA 30 | medium       | architecture=(128,) | Accuracy=0.9774 | time= 15.0s
PCA 30 | wideShallow  | architecture=(256,) | Accuracy=0.9804 | time= 19.5s
PCA 30 | twoLayer     | architecture=(128, 64) | Accuracy=0.9769 | time= 10.8s
PCA 30 | mnistOptimal | architecture=(784,) | Accuracy=0.9808 | time= 31.2s
PCA 30 | deep         | architecture=(128, 64, 64, 64) | Accuracy=0.9754 | time= 33.9s
PCA 30 | deeper       | architecture=(64, 64, 64, 64, 64, 64, 64) | Accuracy=0.9707 | time= 21.8s
PCA 30 | twoLayerBottleNeck | architecture=(512, 256) | Accuracy=0.9824 | time= 61.7s
PCA 30 | threeLayerBottleNeck | architecture=(512, 256, 128) | Accuracy=0.9786 | time= 66.0s
PCA 30 | wideDeep     | architecture=(256, 128) | Accuracy=0.9798 | time= 22.8s
PCA 30 | shallowTaper | architecture=(512, 256, 128, 64) | Accuracy=0.9823 | time= 156.2s
PCA 30 | deepTaper    | architecture=(512, 256, 128, 64, 32, 16, 8, 4, 2) | Accuracy=0.9560 | time= 158.4s
PCA 30 | wikiWork     | architecture=(784, 800) | Accuracy=0.9859 | time= 678.2s
